Full_name	Kingdom	Phylum	Class	Order	Family	Genus
k__Fungi | p__Ascomycota | c__Sordariomycetes | unassigned | unassigned | unassigned.8	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 unassigned 	 unassigned 	 unassigned.8
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.94	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.94
k__Fungi | p__Ascomycota | c__Leotiomycetes | Erysiphales | f__Erysiphaceae | g__Blumeria	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Erysiphales 	 f__Erysiphaceae 	 g__Blumeria
k__Fungi | p__Ascomycota | c__Ascomycota_cls_Incertae_sedis | Ascomycota_ord_Incertae_sedis | f__Ascomycota_fam_Incertae_sedis | g__Ascomycota_gen_Incertae_sedis.36	k__Fungi 	 p__Ascomycota 	 c__Ascomycota_cls_Incertae_sedis 	 Ascomycota_ord_Incertae_sedis 	 f__Ascomycota_fam_Incertae_sedis 	 g__Ascomycota_gen_Incertae_sedis.36
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.59	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.59
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Phaeosphaeriaceae | g__Sclerostagonospora.3	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Phaeosphaeriaceae 	 g__Sclerostagonospora.3
k__Fungi | p__Ascomycota | c__Leotiomycetes | Helotiales | f__Helotiales_fam_Incertae_sedis | g__Helotiales_gen_Incertae_sedis.16	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Helotiales 	 f__Helotiales_fam_Incertae_sedis 	 g__Helotiales_gen_Incertae_sedis.16
k__Fungi | p__Ascomycota | c__Eurotiomycetes | Chaetothyriales | f__Chaetothyriales_fam_Incertae_sedis | g__Chaetothyriales_gen_Incertae_sedis.24	k__Fungi 	 p__Ascomycota 	 c__Eurotiomycetes 	 Chaetothyriales 	 f__Chaetothyriales_fam_Incertae_sedis 	 g__Chaetothyriales_gen_Incertae_sedis.24
k__Fungi | p__Chytridiomycota | c__Rhizophydiomycetes | Rhizophydiales | f__Rhizophydiales_fam_Incertae_sedis | g__Rhizophydiales_gen_Incertae_sedis.5	k__Fungi 	 p__Chytridiomycota 	 c__Rhizophydiomycetes 	 Rhizophydiales 	 f__Rhizophydiales_fam_Incertae_sedis 	 g__Rhizophydiales_gen_Incertae_sedis.5
k__Fungi | p__Ascomycota | c__Sordariomycetes | Glomerellales | f__Plectosphaerellaceae | g__Lectera	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Glomerellales 	 f__Plectosphaerellaceae 	 g__Lectera
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.62	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.62
k__Fungi | p__Ascomycota | c__Sordariomycetes | Sordariales | f__Chaetomiaceae | g__Chaetomiaceae_gen_Incertae_sedis.4	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Sordariales 	 f__Chaetomiaceae 	 g__Chaetomiaceae_gen_Incertae_sedis.4
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.100	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.100
k__Fungi | p__Ascomycota | c__Orbiliomycetes | Orbiliales | f__Orbiliaceae | g__Dactylaria	k__Fungi 	 p__Ascomycota 	 c__Orbiliomycetes 	 Orbiliales 	 f__Orbiliaceae 	 g__Dactylaria
k__Fungi | p__Ascomycota | c__Leotiomycetes | Helotiales | f__Mollisiaceae | g__Mollisia.1	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Helotiales 	 f__Mollisiaceae 	 g__Mollisia.1
k__Fungi | p__Ascomycota | c__Sordariomycetes | Sordariales | f__Chaetomiaceae | unassigned.6	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Sordariales 	 f__Chaetomiaceae 	 unassigned.6
k__Fungi | p__Ascomycota | c__Eurotiomycetes | Onygenales | f__Onygenaceae | g__Auxarthron	k__Fungi 	 p__Ascomycota 	 c__Eurotiomycetes 	 Onygenales 	 f__Onygenaceae 	 g__Auxarthron
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.67	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.67
k__Fungi | p__Ascomycota | c__Leotiomycetes | Helotiales | f__Helotiales_fam_Incertae_sedis | g__Helotiales_gen_Incertae_sedis.18	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Helotiales 	 f__Helotiales_fam_Incertae_sedis 	 g__Helotiales_gen_Incertae_sedis.18
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.65	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.65
k__Fungi | p__Chytridiomycota | c__Rhizophlyctidomycetes | Rhizophlyctidales | f__Rhizophlyctidaceae | g__Rhizophlyctis.7	k__Fungi 	 p__Chytridiomycota 	 c__Rhizophlyctidomycetes 	 Rhizophlyctidales 	 f__Rhizophlyctidaceae 	 g__Rhizophlyctis.7
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.69	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.69
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.102	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.102
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.103	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.103
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Amorosiaceae | g__Angustimassarina	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Amorosiaceae 	 g__Angustimassarina
k__Fungi | p__Ascomycota | c__Ascomycota_cls_Incertae_sedis | Ascomycota_ord_Incertae_sedis | f__Ascomycota_fam_Incertae_sedis | g__Ascomycota_gen_Incertae_sedis.42	k__Fungi 	 p__Ascomycota 	 c__Ascomycota_cls_Incertae_sedis 	 Ascomycota_ord_Incertae_sedis 	 f__Ascomycota_fam_Incertae_sedis 	 g__Ascomycota_gen_Incertae_sedis.42
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.71	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.71
k__Fungi | p__Ascomycota | c__Sordariomycetes | Hypocreales | f__Nectriaceae | g__Fusarium.11	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Hypocreales 	 f__Nectriaceae 	 g__Fusarium.11
k__Fungi | p__Chytridiomycota | c__Spizellomycetes | Spizellomycetales | f__Spizellomycetales_fam_Incertae_sedis | g__Spizellomycetales_gen_Incertae_sedis.23	k__Fungi 	 p__Chytridiomycota 	 c__Spizellomycetes 	 Spizellomycetales 	 f__Spizellomycetales_fam_Incertae_sedis 	 g__Spizellomycetales_gen_Incertae_sedis.23
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.72	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.72
k__Fungi | p__Ascomycota | c__Dothideomycetes | Capnodiales | f__Capnodiales_fam_Incertae_sedis | g__Capnodiales_gen_Incertae_sedis.4	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Capnodiales 	 f__Capnodiales_fam_Incertae_sedis 	 g__Capnodiales_gen_Incertae_sedis.4
k__Fungi | p__Ascomycota | unassigned | unassigned | unassigned | unassigned.73	k__Fungi 	 p__Ascomycota 	 unassigned 	 unassigned 	 unassigned 	 unassigned.73
k__Fungi | p__Ascomycota | c__Ascomycota_cls_Incertae_sedis | Ascomycota_ord_Incertae_sedis | f__Ascomycota_fam_Incertae_sedis | g__Ascomycota_gen_Incertae_sedis.45	k__Fungi 	 p__Ascomycota 	 c__Ascomycota_cls_Incertae_sedis 	 Ascomycota_ord_Incertae_sedis 	 f__Ascomycota_fam_Incertae_sedis 	 g__Ascomycota_gen_Incertae_sedis.45
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Torulaceae | g__Cylindrotorula	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Torulaceae 	 g__Cylindrotorula
