Factor	Core_group_value	edge	sig	Category	Kingdom
Precipitation_Week2	Caulobacterales_RA	0.135591762	0.046326181	Climatic_conditions	Bacteria
Precipitation_Week2	Chaetothyriales_RA	-0.14755318	0.038834365	Climatic_conditions	Fungi
Precipitation_Week2	Microtrichales_RA	0.131951216	0.021752674	Climatic_conditions	Bacteria
Pressure_high_Week1	Burkholderiales_RA	-0.011685561	0.040866822	Climatic_conditions	Bacteria
Pressure_high_Week1	Caulobacterales_RA	0.202850317	0.000179422	Climatic_conditions	Bacteria
Pressure_high_Week1	Hypocreales_RA	-0.121831582	0.033589744	Climatic_conditions	Fungi
Pressure_high_Week2	Burkholderiales_RA	-0.055505979	0.016225314	Climatic_conditions	Bacteria
Pressure_high_Week2	Caulobacterales_RA	0.133416331	0.006150081	Climatic_conditions	Bacteria
Pressure_high_Week2	Propionibacteriales_RA	-0.144466014	0.012685889	Climatic_conditions	Bacteria
Pressure_high_Week3	Burkholderiales_RA	-0.005723422	0.028028193	Climatic_conditions	Bacteria
Pressure_high_Week3	Caulobacterales_RA	0.192051944	0.002802081	Climatic_conditions	Bacteria
Pressure_high_Week3	Propionibacteriales_RA	-0.124061843	0.0358278	Climatic_conditions	Bacteria
Pressure_high_Week4	Caulobacterales_RA	0.179171643	0.001886294	Climatic_conditions	Bacteria
Pressure_high_Week4	Hypocreales_RA	-0.167020292	0.003889045	Climatic_conditions	Fungi
Pressure_high_Week4	Rhizobiales_RA	-0.129006548	0.044645539	Climatic_conditions	Bacteria
Pressure_low_Week1	Burkholderiales_RA	-0.010547533	0.034326066	Climatic_conditions	Bacteria
Pressure_low_Week1	Caulobacterales_RA	0.201413986	0.000524272	Climatic_conditions	Bacteria
Pressure_low_Week1	Hypocreales_RA	-0.129750838	0.039317789	Climatic_conditions	Fungi
Pressure_low_Week1	Propionibacteriales_RA	-0.114789576	0.038537325	Climatic_conditions	Bacteria
Pressure_low_Week2	Burkholderiales_RA	-0.043626974	0.018930026	Climatic_conditions	Bacteria
