Var1	core	number_sites	mean	sd	se	Kingdom
b3887d17ff0e3ce517038879ce55d10b	Helotiales	5	0.021136399	0.041277146	0.018459701	Fungi
b1ed2ccb8989d93bbf3fd6de15c4793a	Pleosporales	17	0.006515547	0.008361854	0.002028047	Fungi
991d3dc8655cf8d76b599c3e6cb9fca6	Chaetothyriales	8	0.007316921	0.008806757	0.003113659	Fungi
a6d7487c6d0c7d85e2dd6c1ff7b6d6b2	Hypocreales	16	0.008845116	0.020373465	0.005093366	Fungi
aa2c77608cfb29254ab7f781e87d0ead	Pleosporales	17	0.003316177	0.006376762	0.001546592	Fungi
0683dabfa5ebd0669a7d58b25e0a8844	Pleosporales	25	0.003096392	0.002471314	0.000494263	Fungi
05a7a4bd1c0afebb8044c605b7cfc5ae	Chaetothyriales	8	0.006746309	0.007565859	0.002674935	Fungi
a43c9d1b745098dbb9a0f984de8f244f	Pleosporales	4	0.026614683	0.049236608	0.024618304	Fungi
819b15cb0c13c5b0e09aa0285df10b4c	Helotiales	4	0.020936849	0.023990235	0.011995117	Fungi
30383880f238f824f51c8ac79d2d4e38	Hypocreales	2	0.017979277	0.024011488	0.016978686	Fungi
b42a6a07216efd23f4c96d1999e66eaf	Pleosporales	25	0.003488266	0.004546901	0.00090938	Fungi
311064d974538c4b04252208e31722dd	Helotiales	4	0.020825004	0.022099517	0.011049759	Fungi
ca624763687cbd159b5fc96005aefc27	Hypocreales	5	0.016908867	0.018215553	0.008146243	Fungi
4fd6e989abdc812d55b8d8bd893bb84c	Hypocreales	2	0.020438157	0.000775607	0.000548437	Fungi
d98925c34947af5168b36d9051dbf579	Chaetothyriales	8	0.014086013	0.015489364	0.005476317	Fungi
d5fd0c8a5f226496442bd36dcc42ce64	Helotiales	8	0.020463328	0.035358573	0.012501143	Fungi
d233e96886cf5a3ddf18e03f8e6863fe	Chaetothyriales	22	0.007674433	0.014130523	0.003012638	Fungi
a294a7a1a3a910382d5c3473cc7404ce	Chaetothyriales	2	0.033768259	0.042859452	0.030306209	Fungi
799fc65177e430b458391dafbd864b89	Pleosporales	14	0.00517876	0.006686075	0.001786929	Fungi
6da9d806cdc896a9d344d5922797935a	Xylariales	15	0.004237774	0.010585508	0.002733166	Fungi
b344b59c97f236bdc00185402669b95a	Helotiales	2	0.032666013	0.045589108	0.032236367	Fungi
a21b5d3217d63827b3fa85b3cca183a6	Chaetothyriales	3	0.017777999	0.030468971	0.017591269	Fungi
07a6e7c148d335465470c88751ebade1	Chaetothyriales	17	0.00327492	0.003067034	0.000743865	Fungi
8e2c6fcd9b8c2851225284aac75d16b6	Helotiales	4	0.00788263	0.012974982	0.006487491	Fungi
5fa18956f4568992101c9ca7bea0ab57	Pleosporales	26	0.002093657	0.003118688	0.000611625	Fungi
6e5ff171744be69c0236a2a75d0de4a6	Chaetothyriales	17	0.009268215	0.012825006	0.003110521	Fungi
