SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_A3_A9_F4.R2	ECOGEN2023_A3_A9_F5.R3	SurveyECOGEN2023_449	BERNA-A	Hautes-Pyrenees	1
ECOGEN2023_E6_E12_F2.R1	ECOGEN2023_E6_E12_F2.R2	SurveyECOGEN2023_45	LABA-C	Haute-Garonne	1
ECOGEN2023_B3_B9_F4.R2	ECOGEN2023_B3_B9_F5.R3	SurveyECOGEN2023_450	LAUZ-A	Tarn-et-Garonne	1
ECOGEN2023_C3_C9_F4.R2	ECOGEN2023_C3_C9_F5.R3	SurveyECOGEN2023_451	BOULO-A	Haute-Garonne	1
ECOGEN2023_D3_D9_F4.R2	ECOGEN2023_D3_D9_F5.R3	SurveyECOGEN2023_452	JUZET-B	Haute-Garonne	2
ECOGEN2023_E3_E9_F4.R2	ECOGEN2023_E3_E9_F5.R3	SurveyECOGEN2023_453	GAIL-B	Tarn	1
ECOGEN2023_F3_F9_F4.R2	ECOGEN2023_F3_F9_F5.R3	SurveyECOGEN2023_454	GAIL-A	Tarn	1
ECOGEN2023_G3_G9_F4.R2	ECOGEN2023_G3_G9_F5.R3	SurveyECOGEN2023_455	MONT-A	Tarn	NA
ECOGEN2023_H3_H9_F4.R2	ECOGEN2023_H3_H9_F5.R3	SurveyECOGEN2023_456	MONT-B	Tarn	NA
ECOGEN2023_A4_A10_F4.R2	ECOGEN2023_A4_A10_F5.R3	SurveyECOGEN2023_457	SALV-A	Tarn	2
ECOGEN2023_B4_B10_F4.R2	ECOGEN2023_B4_B10_F5.R3	SurveyECOGEN2023_458	JULI-A	Aveyron	NA
ECOGEN2023_C4_C10_F4.R2	ECOGEN2023_C4_C10_F5.R3	SurveyECOGEN2023_459	RAYR-B	Aveyron	1
ECOGEN2023_F6_F12_F2.R1	ECOGEN2023_F6_F12_F2.R2	SurveyECOGEN2023_46	SAUB-C	Haute-Garonne	4
ECOGEN2023_G6_G12_F2.R1	ECOGEN2023_G6_G12_F2.R2	SurveyECOGEN2023_47	SAUB-B	Haute-Garonne	3
ECOGEN2023_H6_H12_F2.R1	ECOGEN2023_H6_H12_F2.R2	SurveyECOGEN2023_48	SAUB-A	Haute-Garonne	NA
ECOGEN2023_A1_A7_F4.R5	ECOGEN2023_A1_A7_F5.R5	SurveyECOGEN2023_481	JACO-B	Ariege	NA
ECOGEN2023_B1_B7_F4.R5	ECOGEN2023_B1_B7_F5.R5	SurveyECOGEN2023_482	BROU-A	Aveyron	1
ECOGEN2023_C1_C7_F4.R5	ECOGEN2023_C1_C7_F5.R5	SurveyECOGEN2023_483	NAUV-B	Aveyron	2
ECOGEN2023_D1_D7_F4.R5	ECOGEN2023_D1_D7_F5.R5	SurveyECOGEN2023_484	CAMA-C	Aveyron	1
ECOGEN2023_E1_E7_F4.R5	ECOGEN2023_E1_E7_F5.R5	SurveyECOGEN2023_485	VICT-D	Aveyron	NA
ECOGEN2023_F1_F7_F4.R5	ECOGEN2023_F1_F7_F5.R5	SurveyECOGEN2023_486	NAUV-A	Aveyron	2
ECOGEN2023_G1_G7_F4.R5	ECOGEN2023_G1_G7_F5.R5	SurveyECOGEN2023_487	FAYA-A	Aveyron	NA
ECOGEN2023_H1_H7_F4.R5	ECOGEN2023_H1_H7_F5.R5	SurveyECOGEN2023_488	CERN-A	Aveyron	2
ECOGEN2023_A2_A8_F4.R5	ECOGEN2023_A2_A8_F5.R5	SurveyECOGEN2023_489	PAMP-A	Tarn	1
ECOGEN2023_A1_A7_F2.R2	ECOGEN2023_A1_A7_F2.R3	SurveyECOGEN2023_49	LAMA-A	Haute-Garonne	1
ECOGEN2023_B2_B8_F4.R5	ECOGEN2023_B2_B8_F5.R5	SurveyECOGEN2023_490	VALE-A	Tarn	1
ECOGEN2023_C2_C8_F4.R5	ECOGEN2023_C2_C8_F5.R5	SurveyECOGEN2023_491	PASD-B	Aveyron	1
ECOGEN2023_D2_D8_F4.R5	ECOGEN2023_D2_D8_F5.R5	SurveyECOGEN2023_492	JACO-A	Ariege	1
ECOGEN2023_E2_E8_F4.R5	ECOGEN2023_E2_E8_F5.R5	SurveyECOGEN2023_493	BULE-A	Ariege	NA
ECOGEN2023_F2_F8_F4.R5	ECOGEN2023_F2_F8_F5.R5	SurveyECOGEN2023_494	COMT-A	Aveyron	2
ECOGEN2023_G2_G8_F4.R5	ECOGEN2023_G2_G8_F5.R5	SurveyECOGEN2023_495	BROU-B	Aveyron	NA
ECOGEN2023_H2_H8_F4.R5	ECOGEN2023_H2_H8_F5.R5	SurveyECOGEN2023_496	JUZE-A	Haute-Garonne	1
ECOGEN2023_A3_A9_F4.R5	ECOGEN2023_A3_A9_F5.R5	SurveyECOGEN2023_497	CASS-A	Aveyron	2
ECOGEN2023_B3_B9_F4.R5	ECOGEN2023_B3_B9_F5.R5	SurveyECOGEN2023_498	BESS-A	Aveyron	3
ECOGEN2023_C3_C9_F4.R5	ECOGEN2023_C3_C9_F5.R5	SurveyECOGEN2023_499	REAL-A	Tarn	4
ECOGEN2023_E1_E7_F2.R1	ECOGEN2023_E1_E7_F2.R2	SurveyECOGEN2023_5	MARS-A	Gers	1
ECOGEN2023_B1_B7_F2.R2	ECOGEN2023_B1_B7_F2.R3	SurveyECOGEN2023_50	LAMA-B	Haute-Garonne	NA
ECOGEN2023_D3_D9_F4.R5	ECOGEN2023_D3_D9_F5.R5	SurveyECOGEN2023_500	VICT-C	Aveyron	1
ECOGEN2023_E3_E9_F4.R5	ECOGEN2023_E3_E9_F5.R5	SurveyECOGEN2023_501	VIEL-A	Tarn	1
ECOGEN2023_F3_F9_F4.R5	ECOGEN2023_F3_F9_F5.R5	SurveyECOGEN2023_502	LACR-A	Ariege	3
ECOGEN2023_G3_G9_F4.R5	ECOGEN2023_G3_G9_F5.R5	SurveyECOGEN2023_503	ESPE-B	Tarn	2
ECOGEN2023_H3_H9_F4.R5	ECOGEN2023_H3_H9_F5.R5	SurveyECOGEN2023_504	MERE-B	Ariege	1
ECOGEN2023_A4_A10_F4.R5	ECOGEN2023_A4_A10_F5.R5	SurveyECOGEN2023_505	VILLE-B	Haute-Garonne	1
ECOGEN2023_B4_B10_F4.R5	ECOGEN2023_B4_B10_F5.R5	SurveyECOGEN2023_506	MULE-A	Tarn	NA
ECOGEN2023_C4_C10_F4.R5	ECOGEN2023_C4_C10_F5.R5	SurveyECOGEN2023_507	BROU-C	Aveyron	2
ECOGEN2023_D4_D10_F4.R5	ECOGEN2023_D4_D10_F5.R5	SurveyECOGEN2023_508	DAMI-C	Tarn	1
ECOGEN2023_E4_E10_F4.R5	ECOGEN2023_E4_E10_F5.R5	SurveyECOGEN2023_509	BARA-B	Aveyron	1
ECOGEN2023_C1_C7_F2.R2	ECOGEN2023_C1_C7_F2.R3	SurveyECOGEN2023_51	CLAR-A	Haute-Garonne	1
ECOGEN2023_F4_F10_F4.R5	ECOGEN2023_F4_F10_F5.R5	SurveyECOGEN2023_510	PAMP-B	Tarn	1
ECOGEN2023_G4_G10_F4.R5	ECOGEN2023_G4_G10_F5.R5	SurveyECOGEN2023_511	NAYR-A	Aveyron	2
ECOGEN2023_H4_H10_F4.R5	ECOGEN2023_H4_H10_F5.R5	SurveyECOGEN2023_512	VILLE-C	Haute-Garonne	1
